sequence_date,consumption
2023-10-27 21:00:00,4688.538
2023-10-27 22:00:00,4567.161
2023-10-27 23:00:00,4403.835
2023-10-28 00:00:00,4328.44
2023-10-28 01:00:00,4197.282
2023-10-28 02:00:00,4180.486
2023-10-28 03:00:00,4183.328
2023-10-28 04:00:00,4265.067
2023-10-28 05:00:00,4462.055
2023-10-28 06:00:00,4650.348
2023-10-28 07:00:00,4757.99
2023-10-28 08:00:00,4930.615
2023-10-28 09:00:00,4958.851
2023-10-28 10:00:00,4887.61
2023-10-28 11:00:00,4854.449
2023-10-28 12:00:00,4882.565
2023-10-28 13:00:00,4854.333
2023-10-28 14:00:00,4807.332
2023-10-28 15:00:00,4785.326
2023-10-28 16:00:00,4838.528
2023-10-28 17:00:00,4932.214
2023-10-28 18:00:00,4840.27
2023-10-28 19:00:00,4764.581
2023-10-28 20:00:00,4779.065
2023-10-28 21:00:00,4688.538
2023-10-28 22:00:00,4567.161
2023-10-28 23:00:00,4403.835
2023-10-29 00:00:00,4328.44
2023-10-29 01:00:00,4197.282
2023-10-29 02:00:00,4180.486
2023-10-29 03:00:00,4183.328
2023-10-29 04:00:00,4265.067
2023-10-29 05:00:00,4462.055
2023-10-29 06:00:00,4650.348
2023-10-29 07:00:00,4757.99
2023-10-29 08:00:00,4930.615
2023-10-29 09:00:00,4958.851
2023-10-29 10:00:00,4887.61
2023-10-29 11:00:00,4854.449
2023-10-29 12:00:00,4882.565
2023-10-29 13:00:00,4854.333
2023-10-29 14:00:00,4807.332
2023-10-29 15:00:00,4785.326
2023-10-29 16:00:00,4838.528
2023-10-29 17:00:00,4932.214
2023-10-29 18:00:00,4840.27
2023-10-29 19:00:00,4764.581
2023-10-29 20:00:00,4779.065
2023-10-29 21:00:00,4688.538
2023-10-29 22:00:00,4567.161
2023-10-29 23:00:00,4403.835
2023-10-30 00:00:00,4328.44
2023-10-30 01:00:00,4062.188
2023-10-30 02:00:00,4067.183
2023-10-30 03:00:00,4041.659
2023-10-30 04:00:00,4064.463
2023-10-30 05:00:00,4311.587
2023-10-30 06:00:00,4485.324
2023-10-30 07:00:00,4659.593
2023-10-30 08:00:00,4835.414
2023-10-30 09:00:00,4909.15
2023-10-30 10:00:00,4913.424
2023-10-30 11:00:00,4815.48
2023-10-30 12:00:00,4903.623
2023-10-30 13:00:00,4894.843
2023-10-30 14:00:00,4872.785
2023-10-30 15:00:00,4912.146
2023-10-30 16:00:00,4946.517
2023-10-30 17:00:00,5004.451
2023-10-30 18:00:00,4891.738
2023-10-30 19:00:00,4850.967
2023-10-30 20:00:00,4821.036
2023-10-30 21:00:00,4611.285
2023-10-30 22:00:00,4453.547
2023-10-30 23:00:00,4256.925
2023-10-31 00:00:00,4191.991
